trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,10,5.466940213700421,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2209099779593782}",25,13,-0.021606216451762306,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,10,-86.20716122606953,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 2}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,6,16.397176622412175,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,8,13.566926414201331,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674304}",35,12,-15.977027612488715,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076472}",30,18,16.12120110028254,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",30,15,28.51965264680277,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,10,5.372060981887477,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421342}",30,15,8.391633592793497,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20189651799465538}",20,15,8.783529870163267,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19988761407514449}",20,15,8.154676926529499,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,12,17.22054789666184,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,-9,-3.9097531136832098,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",25,5,38.3126620923932,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19204990862075408}",30,14,6.082943742835086,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1901389801015205}",25,17,3.96977955855425,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",25,10,-32.653059253564685,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,-3,34.191869941647504,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,14,-10.629591332996394,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",30,20,1.2429492414950434,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,10,-45.985701780321676,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,16,6.602963900227465,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,1,-11.007020819703314,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,-5,37.29465420234156,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,7,13.087506854161695,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,9,20.46269525722878,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17033298882540943}",25,10,26.92450219872736,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1686381472685955}",20,9,14.849649976630616,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16696016966704069}",25,13,17.010929730539797,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,3,31.105791478159404,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270405}",25,14,-29.891595491551403,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
